日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均.1,25日平均.1
2024/12/05,"39,610.43","39,632.30","39,323.04","39,395.60","38,928.38","38,737.10","38,326.81",--,"116,401","118,095.60","131,265.60"
2024/12/04,"39,354.00","39,417.08","39,062.03","39,276.39","38,719.07","38,732.37","38,309.03",--,"119,106","115,496.60","135,482.04"
2024/12/03,"38,748.65","39,427.37","38,746.05","39,248.86","38,490.78","38,717.46","38,275.04",--,"142,194","115,780.80","134,613.00"
2024/12/02,"38,216.95","38,552.41","37,958.55","38,513.02","38,329.41","38,691.73","38,237.62",--,"110,462","111,902.80","133,590.56"
2024/11/29,"38,205.08","38,270.06","37,986.97","38,208.03","38,382.84","38,667.77","38,207.21",--,"102,315","128,286.60","132,801.76"
2024/11/28,"37,935.94","38,478.32","37,801.62","38,349.06","38,398.00","38,665.18","38,164.77",--,"103,406","128,479.60","133,057.08"
2024/11/27,"38,327.86","38,332.45","37,988.99","38,134.97","38,333.42","38,655.41","38,117.86",--,"120,527","128,170.40","132,738.12"
2024/11/26,"38,596.76","38,596.76","38,020.08","38,442.00","38,376.90","38,666.49","38,077.26",--,"122,804","124,771.80","132,334.80"
2024/11/25,"38,679.93","39,053.64","38,672.17","38,780.14","38,371.38","38,686.99","38,027.04",--,"192,381","122,054.00","131,381.32"
2024/11/22,"38,146.98","38,420.63","38,085.13","38,283.85","38,259.52","38,695.06","37,929.42",--,"103,280","104,772.00","127,513.68"
2024/11/21,"38,352.87","38,374.69","37,945.21","38,026.17","38,331.34","38,720.15","37,897.76",--,"101,860","112,897.20","127,670.88"
2024/11/20,"38,475.70","38,520.45","38,180.15","38,352.34","38,433.24","38,766.32","37,899.10",--,"103,534","119,291.20","127,919.84"
2024/11/19,"38,396.72","38,560.10","38,246.36","38,414.43","38,507.11","38,828.65","37,909.09",--,"109,215","128,669.00","128,937.28"
2024/11/18,"38,259.59","38,548.30","38,150.39","38,220.85","38,699.44","38,876.30","37,910.58",--,"105,971","139,418.40","129,005.92"
2024/11/15,"38,749.56","39,101.64","38,642.91","38,642.91","38,961.93","38,922.70","37,913.88",--,"143,906","142,760.80","128,907.00"
2024/11/14,"38,911.04","39,084.44","38,535.70","38,535.70","39,133.42","38,948.10","37,900.87",--,"133,830","145,830.80","127,423.16"
2024/11/13,"39,317.15","39,377.24","38,600.26","38,721.66","39,302.57","38,964.18","37,891.99",--,"150,423","157,061.80","126,885.04"
2024/11/12,"39,642.78","39,866.72","39,137.89","39,376.09","39,454.37","38,988.62","37,897.77",--,"162,962","161,092.20","125,989.64"
2024/11/11,"39,417.21","39,598.74","39,315.61","39,533.32","39,274.13","38,959.00","37,900.68",--,"122,683","152,502.60","124,319.72"
2024/11/08,"39,783.45","39,818.41","39,377.87","39,500.37","38,978.20","38,919.75","37,901.55",--,"159,256","154,018.80","124,483.04"
2024/11/07,"39,745.23","39,884.01","39,020.22","39,381.41","38,894.38","38,852.09","37,909.07",--,"189,985","151,024.80","123,696.92"
2024/11/06,"38,677.95","39,664.53","38,662.17","39,480.67","38,873.57","38,822.91","37,919.00",--,"170,575","157,390.20","121,380.08"
2024/11/05,"38,274.22","38,620.19","38,159.73","38,474.90","38,758.17","38,760.46","37,940.56",--,"120,014","142,751.20","122,175.76"
2024/11/01,"38,504.35","38,512.83","37,946.66","38,053.67","38,784.30","38,814.65","37,977.89",--,"130,264","142,075.00","123,852.60"
2024/10/31,"39,179.72","39,249.21","38,832.21","39,081.25","38,756.35","38,849.53","38,019.72",--,"144,286","134,170.60","124,284.00"
2024/10/30,"39,102.89","39,417.88","39,094.30","39,277.39","38,568.76","38,801.09","38,061.62",--,"221,812","127,053.00","122,841.20"
2024/10/29,"38,524.30","38,903.68","38,416.85","38,903.68","38,334.25","38,747.62","38,095.69",--,"97,380","101,777.00","118,507.76"
2024/10/28,"37,757.95","38,740.17","37,757.95","38,605.53","38,235.91","38,700.43","38,131.37",--,"116,633","104,389.80","121,117.56"
2024/10/25,"37,954.78","38,028.14","37,713.00","37,913.92","38,305.72","38,642.42","38,160.38",--,"90,742","100,856.60","121,017.96"
2024/10/24,"37,804.52","38,320.39","37,712.19","38,143.29","38,519.29","38,581.07","38,200.35",--,"108,698","101,846.20","121,384.00"
2024/10/23,"38,397.28","38,514.33","37,987.62","38,104.86","38,672.87","38,503.47","38,237.29",--,"95,432","101,548.60","122,127.24"
2024/10/22,"38,933.60","38,995.03","38,200.82","38,411.96","38,887.96","38,442.54","38,270.30",--,"110,444","104,079.00","122,946.44"
2024/10/21,"38,960.20","39,119.67","38,775.59","38,954.60","39,187.67","38,379.39","38,292.47",--,"98,967","107,784.20","123,579.88"
2024/10/18,"39,092.47","39,186.64","38,893.52","38,981.75","39,317.91","38,246.00","38,301.49",--,"95,690","110,177.00","124,726.56"
2024/10/17,"39,263.82","39,299.74","38,911.19","38,911.19","39,397.74","38,133.10","38,309.51",--,"107,210","111,738.60","125,389.84"
2024/10/16,"39,362.63","39,362.63","39,062.85","39,180.30","39,471.10","38,025.28","38,315.25",--,"108,084","111,658.60","125,828.52"
2024/10/15,"40,047.15","40,257.34","39,910.55","39,910.55","39,422.54","37,913.73","38,321.74",--,"128,970","114,117.20","125,973.76"
2024/10/11,"39,636.87","39,668.93","39,415.26","39,605.80","39,306.98","37,783.59","38,311.91",--,"110,931","113,930.80","125,265.32"
2024/10/10,"39,575.80","39,616.59","39,282.19","39,380.89","39,112.95","37,681.26","38,301.23",--,"103,498","115,987.40","126,605.52"
2024/10/09,"39,385.49","39,456.28","39,115.63","39,277.96","38,947.18","37,653.48","38,290.77",--,"106,810","120,641.00","126,115.40"
